continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-forest-land,assets,0.0,680046.637306212,0.0,0.0,1452992.094276,2.0,inf
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-shrubgrass,assets,0.0,113664.613597336,0.0,0.0,146712.07886,2.0,inf
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2020,forestry-and-land-use,net-wetland,assets,0.0,526043.546527864,0.0,0.0,988544.413476,2.0,inf
Africa,Seychelles,SYC,2020,transportation,domestic-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2020,transportation,domestic-aviation,assets,4967.608356729295,15697.642407264573,102216.0,-5191.553134,-16405.307902,2.0,3.16
Africa,Seychelles,SYC,2021,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2021,agriculture,cropland-fires,assets,0.0,33.2863412,0.0,0.0,0.300543,26.0,inf
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-forest-land,assets,0.0,79444.736763,0.0,0.0,-600601.900544,2.0,inf
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-shrubgrass,assets,0.0,4559.93513906,0.0,0.0,-109104.678458,2.0,inf
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2021,forestry-and-land-use,net-wetland,assets,0.0,104646.636421204,0.0,0.0,-421396.910106,2.0,inf
Africa,Seychelles,SYC,2021,transportation,international-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2021,transportation,international-aviation,assets,251811.12597713835,795723.1580877574,19692.0,-228352.836789,-721594.964253,1.0,3.160000000000001
Africa,Seychelles,SYC,2022,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,agriculture,cropland-fires,assets,0.0,33.2863412,0.0,0.0,0.0,26.0,inf
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-forest-land,assets,0.0,162546.895004272,0.0,0.0,83102.158242,2.0,inf
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-shrubgrass,assets,0.0,26874.032487392,0.0,0.0,22314.097348,2.0,inf
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,forestry-and-land-use,net-wetland,assets,0.0,-14257.544204712,0.0,0.0,-118904.180626,2.0,-inf
Africa,Seychelles,SYC,2022,transportation,domestic-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,transportation,domestic-aviation,assets,10047.189101870426,31749.11756191055,206736.0,5079.580746,16051.475154,2.0,3.16
Africa,Seychelles,SYC,2022,transportation,international-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2022,transportation,international-aviation,assets,407343.8259272709,1287206.489930176,35694.0,155532.69995,491483.331842,2.0,3.1599999999999997
Africa,Seychelles,SYC,2023,transportation,international-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2023,transportation,international-aviation,assets,201163.94107789733,635678.0538061557,18606.0,-206179.884849,-651528.436124,1.0,3.1600000000000006
Africa,Togo,TGO,2015,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Togo,TGO,2015,agriculture,cropland-fires,assets,0.0,8853237.607668538,0.0,0.0,0.0,46.0,inf
Africa,Togo,TGO,2015,agriculture,enteric-fermentation-cattle-pasture,non-assets,,,,,,,
Africa,Togo,TGO,2015,agriculture,enteric-fermentation-cattle-pasture,assets,3112760.0000035283,0.0,1198129843.273252,0.0,0.0,46.0,0.0
Africa,Togo,TGO,2015,agriculture,manure-left-on-pasture-cattle,non-assets,,,,,,,
Africa,Togo,TGO,2015,agriculture,manure-left-on-pasture-cattle,assets,6225520.000007058,0.0,1198129843.273252,0.0,0.0,46.0,0.0
Africa,Togo,TGO,2015,forestry-and-land-use,water-reservoirs,non-assets,,,,,,,
Africa,Togo,TGO,2015,forestry-and-land-use,water-reservoirs,assets,256899999.99999997,0.0,256899999.99999997,0.0,0.0,1.0,0.0
Africa,Togo,TGO,2015,manufacturing,cement,non-assets,,,,,,,
