city_id,name,geometry
ghs-fua_918,Khor Fakkan,POINT (56.34911614398544 25.370480684328253)
ghs-fua_1042,Libertador Gral. San Martín,POINT (-64.7837531883404 -23.79981826540772)
ghs-fua_1156,San Pedro,POINT (-64.86265669155752 -24.23770961960885)
ghs-fua_1265,San Ramón de la Nueva Orán,POINT (-64.32073693168955 -23.13545778504374)
ghs-fua_1368,Concepción,POINT (-65.58889831477964 -27.34218693049706)
ghs-fua_1467,San Miguel de Tucumán,POINT (-65.17261681954831 -26.86239992700266)
ghs-fua_1652,Tartagal,POINT (-63.8015390737119 -22.544584305550266)
ghs-fua_1742,San Fernando del Valle de Catamarca,POINT (-65.75161016787975 -28.453402899170392)
ghs-fua_1829,San Rafael,POINT (-68.35931282110062 -34.618249767023315)
ghs-fua_1911,San Carlos de Bariloche,POINT (-71.3337745855525 -41.136273942018455)
ghs-fua_196,San Juan,POINT (-68.52105777190037 -31.53970039344415)
ghs-fua_1990,Santiago del Estero,POINT (-64.24384921770033 -27.743349303280244)
ghs-fua_2065,San Luis,POINT (-66.31225607645494 -33.27971909903617)
ghs-fua_2140,Villa Carlos Paz,POINT (-64.4894696348688 -31.405330021580223)
ghs-fua_2214,Villa Mercedes,POINT (-65.4745207424947 -33.67339849483412)
ghs-fua_2285,Cordoba,POINT (-64.19467171857664 -31.403598926406875)
ghs-fua_2354,Neuquén,POINT (-68.1065330579328 -38.928811088021234)
ghs-fua_2489,General Roca,POINT (-67.59282815132894 -39.049290153379275)
ghs-fua_2555,Río Cuarto,POINT (-64.35739299189679 -33.13507401163718)
ghs-fua_2621,Villa María,POINT (-63.24103619299943 -32.41962483894931)
ghs-fua_2685,Presidencia Roque Sáenz Peña,POINT (-60.434352027907195 -26.789757758667953)
ghs-fua_2747,San Francisco,POINT (-62.08588481262555 -31.42639960529069)
ghs-fua_2807,Santa Rosa,POINT (-64.29754411371657 -36.628374050293324)
ghs-fua_2866,General Pico,POINT (-63.760852400293004 -35.6635734019912)
ghs-fua_2922,Rafaela,POINT (-61.47728999976637 -31.253101642922402)
ghs-fua_2978,Venado Tuerto,POINT (-61.970592424447844 -33.744487098192295)
ghs-fua_3032,Santa Fe,POINT (-60.707569194374535 -31.610258542534613)
ghs-fua_3136,Reconquista,POINT (-59.650313104755575 -29.16945167756786)
ghs-fua_3187,Resistencia,POINT (-58.99178723016069 -27.44676466861733)
ghs-fua_3238,Paraná,POINT (-60.46395688187221 -31.78390004771882)
ghs-fua_3289,Corrientes,POINT (-58.78022339841388 -27.50064910575119)
ghs-fua_3340,Rosario,POINT (-60.76399827743163 -32.912841012443195)
ghs-fua_3387,Goya,POINT (-59.26241879199243 -29.1458477037742)
ghs-fua_3434,Formosa,POINT (-58.20467973770742 -26.17507218084812)
ghs-fua_3528,Junín,POINT (-60.948247432052355 -34.572940792175736)
ghs-fua_3572,Pergamino,POINT (-60.56348289355793 -33.886916141873535)
ghs-fua_358,Mendoza,POINT (-68.81026438229839 -32.95529753537066)
ghs-fua_3615,Comodoro Rivadavia,POINT (-67.51379952861609 -45.856078501475345)
ghs-fua_3658,San Nicolás de los Arroyos,POINT (-60.237253277770485 -33.3365845197718)
ghs-fua_3701,Puerto Madryn,POINT (-65.05221256868904 -42.76204450087716)
ghs-fua_3747,Trelew,POINT (-65.3518021096979 -43.26408633378331)
ghs-fua_3786,Bahía Blanca,POINT (-62.25206075908644 -38.725972068514984)
ghs-fua_3824,Viedma,POINT (-62.99299112702306 -40.811441832926405)
ghs-fua_3862,Concordia,POINT (-58.04081798769503 -31.37268375890742)
ghs-fua_3899,Zárate,POINT (-59.01508310426036 -34.146879282725656)
ghs-fua_3936,Olavarría,POINT (-60.27291309294882 -36.89357655223122)
