Data source,ID,Gas,2015,2016,2017,2018,2019,2020,2021,2022
pik-tp,USA,co2e,1866369686.8179727,1740888388.564471,1674710510.282083,1692427446.218276,1505498144.63816,1256492471.2371542,1282696309.4532743,
pik-tp,USA,n2o,31589294.26344501,31934428.742875,31574433.337455004,33356671.33478,33746115.738639995,14412802.742696034,16114464.786522856,
unfccc_annex_1,USA,ch4,1297969.73376,1305489.8850000002,1234406.5636,1360242.5782400002,1402477.1194000002,1398663.0716434186,1391067.5679438072,
unfccc_annex_1,USA,co2,1900637366.0,1808870663.0,1732031429.0,1752935973.0,1606023695.0,1438990159.0626152,1540897114.807113,
unfccc_annex_1,USA,co2e,1925525458.14931,1833478548.20625,1755276884.3266501,1775992756.7683399,1626181189.7616,1457925359.253468,1561294632.707543,
unfccc_annex_1,USA,n2o,23590122.41555,23302395.32125,22011048.763049997,21696541.1901,18755017.6422,17536537.11920943,19006450.332486115,
unfccc_non_annex_1,CHN,ch4,0.0,0.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,CHN,co2,0.0,0.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,CHN,co2e,0.0,0.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,CHN,n2o,0.0,0.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,IND,ch4,0.0,448000.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,IND,co2,0.0,1200736000.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,IND,co2e,0.0,1205954000.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,IND,n2o,0.0,4770000.0,0.0,0.0,0.0,0.0,,
