iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
AUS,forestry-and-land-use,shrubgrass-fires,,8155564,Victoria-Daly,11168340.999999996,25481496.99999999,40235499.99999,40235499.99999
CAN,forestry-and-land-use,forest-land-fires,,8182005,Division No. 16,,,40152576.0,40152576.0
CAN,forestry-and-land-use,forest-land-fires,,8182381,Division No. 18,21557441.999999996,,39759956.00000999,39759956.00001
CAN,forestry-and-land-use,forest-land-fires,,8182071,Northern Rockies,,,39322440.0,39322440.000000015
CHN,manufacturing,iron-and-steel,BF/BOF,1566610,Angang Steel Co Ltd,43008897.7597303,38463446.94486655,38927644.867381886,36266058.3376051
QAT,fossil-fuel-operations,oil-and-gas-production,LNG,3588726,Qatar_Rub al Khali_LNG,38999328.13524629,38860428.97851066,38619398.34392887,38619398.34392888
AUS,forestry-and-land-use,shrubgrass-fires,,8156396,East Pilbara,,,38405616.99999,38405616.99999
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588452,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,36182827.83572301,38251513.545949176,38232975.65699916,38232975.65699916
QAT,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588725,Qatar_Rub al Khali_Conventional shelf,30354597.81352879,36630825.11069966,37551791.751454465,37551791.75145446
BOL,forestry-and-land-use,forest-land-fires,,8164866,Moxos,,9888912.999999996,37278435.0,37278435.0
ZAF,forestry-and-land-use,net-shrubgrass,,4963599,Siyanda,,,36966879.99999999,36966879.99999999
BOL,forestry-and-land-use,forest-land-fires,,8164916,Ñuflo De Chávez,,12977702.999999998,36598030.00002,36598030.000020005
RUS,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588445,Russian Federation_OtherBasins_OtherResources,34780952.06637774,37566335.36958865,36510795.49831977,36510795.49831977
AUS,forestry-and-land-use,shrubgrass-fires,,8156418,Halls Creek,8471977.999999994,8900649.999999996,36134322.999989994,36134322.99999
CAN,forestry-and-land-use,forest-land-fires,,8182076,Peace River,,,35861279.99999999,35861279.999999985
BRA,fossil-fuel-operations,oil-and-gas-production,Deepwater,3588581,Brazil_Santos_Deepwater,33416572.940454487,33753178.10717894,35264778.35630126,35264778.35630127
AUS,forestry-and-land-use,removals,,8508515,Upper Hunter,,,34821981.51889999,34821981.51889999
ZAF,forestry-and-land-use,removals,,8731793,Siyanda,,,34768750.691999994,34768750.691999994
RUS,power,electricity-generation,gas,449560,<unknown plant name>,33867000.0,34624000.0,34763000.0,34867000.0
COD,forestry-and-land-use,forest-land-fires,,8183547,Lodja,,35209689.999999985,34570126.00002,34570126.00002
COD,forestry-and-land-use,forest-land-fires,,8183243,Kamina,34638649.99999998,37647971.99999999,34443546.0,34443546.0
CAN,forestry-and-land-use,forest-land-clearing,,5021513,Division No. 17,9254462.0,8748473.000000002,34259335.00002,34259335.00002
CHN,manufacturing,iron-and-steel,"EAF,BF/BOF",32440567,Baoshan Iron and Steel Co Ltd Headquarters,30984092.236964222,32610234.412463047,34007585.676369816,32984516.90299031
MMR,forestry-and-land-use,forest-land-fires,,8215011,Mongsat,,,33670338.0,33670338.0
USA,fossil-fuel-operations,oil-and-gas-transport,Tight oil,3588517,United States_Midland_Tight oil,22564975.916223228,26928696.39961289,33371191.30994815,33371191.30994815
VEN,fossil-fuel-operations,oil-and-gas-production,Heavy oil,3588822,Venezuela_Maturin_Heavy oil,23699964.33407317,27887783.32820678,33367685.72819486,33367685.72819486
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588801,United States_Gulf Coast_Tight oil,27874174.368423495,30671330.423407502,33171611.16128235,33171611.161282346
AUS,forestry-and-land-use,net-shrubgrass,,4571087,MacDonnell,,39199130.00000002,33032729.99999999,33032729.99999999
CAF,forestry-and-land-use,forest-land-fires,,8181902,Yalinga,47533317.99999997,36219611.99999999,32499630.0,32499630.0
KOR,power,electricity-generation,"coal, other_fossil",448452,Taean,34938000.0,33423000.0,32078000.0,32171000.0
AUS,forestry-and-land-use,forest-land-fires,,8163503,Wyndham-East Kimberley,16921519.999999993,35503119.999999985,32019066.0,32019066.000000007
USA,forestry-and-land-use,net-forest-land,,8387291,Yukon-Koyukuk,,,31878600.000000004,31878600.000000004
AGO,forestry-and-land-use,forest-land-fires,,8160262,Luchazes,21696221.999999996,18552972.99999999,31669094.000009995,31669094.000009995
CHN,manufacturing,chemicals,soda_ash,32267423,China,30976050.0,30828000.0,31561950.0,31561950.0
COD,forestry-and-land-use,forest-land-fires,,8183221,Kasenga,27215434.99999998,34285602.999999985,31521035.999970008,31521035.99997
TWN,power,electricity-generation,"coal, oil",449443,Taizhong Taichung,33867000.0,31856000.0,31354000.0,31435000.0
CHN,manufacturing,iron-and-steel,BF/BOF,1566560,Wuhan Iron and Steel Co Ltd,30203491.325277492,33927594.57124355,31335252.60539708,34458239.18388711
RUS,forestry-and-land-use,removals,,8690324,Bilibinskiy rayon,9978831.97,,30791289.679999992,30791289.679999992
CHN,power,electricity-generation,coal,25451405,Togtoh power station,29975000.0,29588000.0,30767000.0,30571000.0
RUS,forestry-and-land-use,net-forest-land,,8372278,Srednekolymskiy rayon,12083600.000000052,,30474360.000000045,30474360.000000045
KWT,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588678,Kuwait_Widyan - North Arabian Gulf_Conventional onshore,27593165.42015965,30794773.389310483,30310218.699661568,30310218.699661568
BRA,forestry-and-land-use,forest-land-fires,,8172357,Altamira,,42590651.99999999,30261728.000010002,30261728.000010002
RUS,forestry-and-land-use,forest-land-clearing,,5051663,Berezovskiy rayon,,,29979198.0,29979198.0
CHN,manufacturing,chemicals,methanol,33998936,CHN-Yulin_methanol,29742917.715,29798584.619999997,29798584.619999997,29798584.619999997
CAN,forestry-and-land-use,forest-land-fires,,8182036,Bulkley-Nechako,,,29677974.999989998,29677974.999989994
ZMB,forestry-and-land-use,forest-land-fires,,8255168,Kasempa,15288793.999999994,33056167.99999998,28952726.00001,28952726.000009995
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588787,United States_ArkLaTex_Shale gas,24028575.22754147,26102554.66057281,28668471.005538538,28668471.005538538
AUS,forestry-and-land-use,forest-land-fires,,8161307,Tiwi Islands,14743278.499999994,10003443.999999996,27999073.000019997,27999073.000020005
CHN,manufacturing,iron-and-steel,BF/BOF,1566628,Rizhao Steel Holding Group Co Ltd,19440864.54760949,20631215.134461474,27859406.28324103,28352190.914425477
RUS,forestry-and-land-use,net-forest-land,,8370643,Srednekanskiy rayon,,,27418920.00000001,27418920.00000001
KOR,manufacturing,iron-and-steel,BF/BOF,1566957,POSCO Pohang steel plant,29700963.32316794,27645423.441511616,27387790.9788738,27567474.80417157
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440512,Zhangjiagang Hongchang Steel Co Ltd,29366229.124430202,30108385.213331703,27287160.81768385,27854958.19256951
MMR,forestry-and-land-use,forest-land-fires,,8215008,Loilen,14125662.99999999,21419684.999999996,27229290.0,27229290.0
CHN,manufacturing,iron-and-steel,BF/BOF,1566515,Shougang Jingtang United Iron & Steel Co Ltd,25387164.49704364,28129654.50390365,26932299.03293571,26636678.288240813
RUS,forestry-and-land-use,removals,,8692216,Khatangskiy rayon,54638080.00000001,,26549388.19999999,26549388.19999999
USA,forestry-and-land-use,removals,,8716066,Yukon-Koyukuk,,,26495797.939999994,26495797.939999994
USA,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588807,United States_OtherBasins_OtherResources,27737631.391373545,27316430.1483998,26260594.91560535,26260594.91560535
JPN,manufacturing,iron-and-steel,BF/BOF,1566917,JFE West Japan Works (Fukuyama) steel plant,21123736.46802997,26680620.50188204,26250130.160407253,26743022.429930598
BOL,forestry-and-land-use,forest-land-fires,,8164868,Yacuma,,,26242604.999969993,26242604.999969993
RUS,forestry-and-land-use,removals,,8695004,Olenekskiy rayon,30451433.829999987,,26180237.019999996,26180237.019999996
AUS,forestry-and-land-use,forest-land-fires,,8161287,East Arnhem,13106326.999999994,20015807.999999996,26075752.000019997,26075752.00002
CHN,manufacturing,iron-and-steel,BF/BOF,1566499,Baosteel Zhanjiang Iron & Steel Co Ltd,23355893.261566874,24067177.74223773,25995774.888480674,19892473.42866549
IND,power,electricity-generation,coal,25451489,Vindhyachal power station,22782000.0,24463000.0,25988000.0,26053000.0
AGO,forestry-and-land-use,forest-land-fires,,8160225,Muconda,30379401.99999999,29361293.999999996,25849206.99999001,25849206.99999
AUS,forestry-and-land-use,net-shrubgrass,,4573559,East Pilbara,,37971519.99999999,25678659.99999998,25678659.99999998
CHN,power,electricity-generation,coal,452326,<unknown plant name>,24765000.0,24598000.0,25311000.0,25385000.0
IND,power,electricity-generation,coal,25453453,Mundra Thermal Power Project (Adani),22113000.0,23742000.0,25224000.0,25287000.0
