iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
USA,transportation,domestic-aviation,domestic,3172133,John F Kennedy International Airport,,3380857.0916039445,3383402.5682906467,,,1757513.8033606934,2458999.8669501515,3715594.151785512,1984086.6096876469
USA,transportation,domestic-aviation,domestic,3173501,Phoenix Sky Harbor International Airport,3352484.212614542,3347739.807919035,,3349663.829152342,3398899.986703788,2281146.607000722,,3415742.865437103,1966133.717689962
ISR,transportation,international-aviation,international,3169462,Ben Gurion International Airport,2553847.7464800016,2713479.56715771,3007929.8255229387,,3469158.4110885174,,1604340.246121291,2927369.648022165,1951023.9770675665
USA,transportation,international-aviation,international,3165573,Ted Stevens Anchorage International Airport,,2149927.258584594,,2808890.367123048,,2804528.409296378,2942318.9066875125,3360194.455084096,1933411.551089033
JPN,transportation,domestic-aviation,domestic,3171869,Tokyo Haneda International Airport,,3417832.9822801147,,3433160.7597777434,3447976.6974096857,2695955.080665976,2224473.4609054774,3341727.513307319,1906374.4737621287
CHN,transportation,domestic-aviation,domestic,3173532,Beijing Daxing International Airport,,,,,183307.32117867004,,,2304933.6153705786,1888281.900090165
USA,transportation,international-aviation,international,3165642,Hartsfield Jackson Atlanta International Airport,3132423.327147703,3109773.123499574,3218702.955493186,3372927.781845748,3475707.766572774,1438729.2013937528,,2867446.0731505626,1881104.5437460328
USA,transportation,domestic-aviation,domestic,3171477,Newark Liberty International Airport,2542287.6483436152,2855726.762624971,,,3180351.623862504,1610566.6642029728,2171901.5060947887,3298338.0153148174,1863648.5840089184
MEX,transportation,international-aviation,international,3167939,Aeropuerto Internacional Lic. Benito Juárez,,3089889.6453089453,,,3750037.869405099,1764611.058687802,2294830.80904064,3282991.7662214027,1850268.455579194
USA,transportation,international-aviation,international,3167041,Washington Dulles International Airport,,3009791.458141176,3031940.581475599,,,,,2784121.746965425,1809873.219750531
CHN,transportation,domestic-aviation,domestic,3172373,Kunming Changshui International Airport,2275701.0796798314,2511776.221609735,2669718.6744310325,2709882.861351973,2735558.1633696067,,2726739.692449981,2615192.1923527424,1778335.0525292554
CHN,transportation,domestic-aviation,domestic,3174289,Chengdu Tianfu International Airport,,,,,,,460699.2160840571,1927487.9674376163,1689562.1704247647
USA,transportation,international-aviation,international,3166329,Dallas Fort Worth International Airport,2837333.5678474098,2865453.666008337,,,,1375793.5585175874,1981048.200317104,2875431.2711522444,1661201.9027400897
ESP,transportation,international-aviation,international,3165718,Josep Tarradellas Barcelona-El Prat Airport,2347686.3261884293,2617654.9462210177,,,3441885.655861003,1006537.4405789066,,2638497.782423289,1625388.2745256023
CHN,transportation,domestic-aviation,domestic,3171824,Hangzhou Xiaoshan International Airport,1688691.3511148924,,2111446.271975803,,2259547.6888651266,2194856.0275484133,2444390.5190700404,2379587.713463922,1613521.9242805487
CAN,transportation,international-aviation,international,3170205,Vancouver International Airport,2849293.4687918182,3217276.873097057,3507702.010960552,,,1281152.503403529,,2322995.075613783,1601576.5388598323
ETH,transportation,international-aviation,international,3165469,Addis Ababa Bole International Airport,1715254.3036738406,,2104428.002327122,2375209.930038428,2603912.07346041,1637828.6262939116,,2460163.3773037866,1595594.032078049
USA,transportation,international-aviation,international,3167043,George Bush Intercontinental Houston Airport,,,2987300.8365526283,3076543.203523436,,1211549.1195489774,1518980.9500430955,2425464.134925569,1595335.34326477
USA,transportation,domestic-aviation,domestic,3170784,Logan International Airport,,,2698205.06856953,,,1508854.7706423562,1897052.6891722984,2821632.863704381,1582058.9560885688
USA,transportation,domestic-aviation,domestic,3170479,Ted Stevens Anchorage International Airport,2214465.121096219,2008103.7568219828,2277088.4503358146,2372519.008521102,2254922.185030116,2161166.2953837165,2477417.1052497816,2811742.078897126,1571495.9113128253
USA,transportation,domestic-aviation,domestic,3171060,Charlotte Douglas International Airport,2553946.7630123817,2612275.461186086,,2705037.774573987,,2035971.5149975857,2582881.008625659,2751648.2568144244,1545263.6156847528
USA,transportation,domestic-aviation,domestic,3171949,George Bush Intercontinental Houston Airport,2835614.2697853576,2661612.3238928528,,2728558.9338093977,2834692.074192949,,2364788.65193724,2721919.623445437,1518019.9978219138
FRA,transportation,international-aviation,international,3168471,Paris-Orly Airport,2122581.0476028016,2254597.686772535,,2609842.213175035,2581476.002371004,1256489.3697401225,,2698780.1226903107,1513936.8765918724
IND,transportation,international-aviation,international,3165875,Chhatrapati Shivaji International Airport,2624857.3005731674,,,3119171.210308547,2695408.35163146,1255025.829825067,1025742.3217218836,2099829.317582614,1510768.1978654566
CHN,transportation,domestic-aviation,domestic,3171044,Chongqing Jiangbei International Airport,1765725.8993553836,,2115657.001589807,2296615.1489398205,2456811.72041049,2403076.8483478776,2789987.009722945,2217653.41353662,1506113.458668923
BEL,transportation,international-aviation,international,3165917,Brussels Airport,2831137.8304065657,2739785.646361658,2918673.851643931,,,1380372.6094961376,,2657779.9093118226,1497874.2989389568
GBR,transportation,international-aviation,international,3167877,Manchester Airport,2458247.793195083,2748384.4243137813,,,,1069294.7195657312,,2567537.461690457,1488818.9263126946
IND,transportation,domestic-aviation,domestic,3171231,Indira Gandhi International Airport,1905754.062394114,2300499.1704848483,2565985.568987857,2756863.6316232057,2711422.85304507,1764840.934263002,2139050.4601884536,2766501.1996155283,1448874.0304927449
ZAF,transportation,international-aviation,international,3167267,OR Tambo International Airport,3772978.062846805,3704368.2053699824,3688180.3487992063,,3666440.557343391,1370806.1665912382,,2315678.4166700128,1447504.3864923206
CHN,transportation,domestic-aviation,domestic,3171140,Chengdu Shuangliu International Airport,2623151.212394622,,3071018.910986336,,3388061.124650682,3391374.688832091,3517213.3640215257,2313396.230044252,1445020.4405009723
NZL,transportation,international-aviation,international,3165542,Auckland International Airport,,2885070.8047218784,,,,1233975.3625535464,779124.3046625537,1487116.9706024083,1440869.1643257656
IDN,transportation,international-aviation,international,3166092,Soekarno-Hatta International Airport,2639897.752188572,,2803442.9053760497,2932043.520163035,2802554.696910651,,853365.2395188325,1887663.4969024293,1433248.3340651726
MEX,transportation,international-aviation,international,3166242,Aeropuerto Internacional de Cancún,1646376.0780839222,,,,,928466.892371221,,2548508.1748798373,1415793.1674576858
USA,transportation,domestic-aviation,domestic,3171871,Daniel K Inouye International Airport,1984216.231112936,,,2007017.8549808047,2114283.9404167687,1199999.98839226,2208954.8947693766,2489363.393414131,1384055.9391762505
AUT,transportation,international-aviation,international,3169765,Vienna International Airport,2257620.983401798,,2361994.818461917,2638510.6497174418,,,,2191358.864072697,1375945.7095431525
CHN,transportation,domestic-aviation,domestic,3174582,Ürümqi Diwopu International Airport,1599895.7902537163,1738485.3861776113,1857652.183396257,1979986.0546275247,,,,1755393.3258803089,1371617.6577972202
USA,transportation,domestic-aviation,domestic,3172595,La Guardia Airport,2295992.17834275,2298280.064081106,2185913.137499491,2187083.857669216,2269015.9124741144,,1263021.712817151,2476361.828824158,1335378.1063209265
USA,transportation,domestic-aviation,domestic,3172878,Miami International Airport,,2004670.3392351363,,,,1329572.5274814798,2167386.7185169314,2486049.054847911,1294548.8277334822
IDN,transportation,domestic-aviation,domestic,3170998,Soekarno-Hatta International Airport,2344386.3228324708,2406611.108585629,2689815.511679649,2735550.8990397654,2330224.374810972,2080492.205112589,1779066.3839037907,2551230.145927439,1290478.8872063546
COL,transportation,international-aviation,international,3165871,El Dorado International Airport,,1867921.143555116,1994049.16961758,,2184229.367339611,851110.4217185196,1132152.6098239226,2157934.783834181,1286712.7861279354
SAU,transportation,international-aviation,international,3168965,King Khaled International Airport,1922495.9183718995,,,1958104.085384627,1859003.6599821951,,,2075199.554885561,1226588.4719010154
DNK,transportation,international-aviation,international,3166195,Copenhagen Kastrup Airport,2336325.615222064,2522959.96625918,2558657.9584649545,2760071.1473170468,2760235.84390295,948710.398131597,,1883772.3971440108,1191631.818136763
ARG,transportation,international-aviation,international,3166577,Minister Pistarini International Airport,2537403.4778635767,2673766.9423641725,2782853.039864411,,,,842782.008763648,1902949.6660833112,1174044.4604846733
JPN,transportation,international-aviation,international,3167430,Kansai International Airport,2899417.8341489555,,3033761.908417714,3207284.4492473607,3526104.429436548,1178675.9973671748,717283.980273348,1069548.4825862616,1145295.8214741696
PAN,transportation,international-aviation,international,3168732,Tocumen International Airport,,1887343.6200574792,1968467.818675474,2070581.6667376312,2069466.4750591856,,,1952274.6397921,1138865.9305813638
USA,transportation,domestic-aviation,domestic,3171335,Detroit Metropolitan Wayne County Airport,2219556.017418562,,2308631.423970403,2299786.8403033847,2338944.048557931,1463469.170498744,1831757.772213333,2013270.3515562825,1137399.9286045693
CHN,transportation,domestic-aviation,domestic,3173171,Nanjing Lukou International Airport,1115845.1447229008,1296304.8691549562,,1636324.8247035204,,1693853.60845491,1625952.0234850768,1773173.5957030242,1127367.8598044715
KWT,transportation,international-aviation,international,3167588,Kuwait International Airport,1478566.8802925611,1562332.6329065927,,,1960804.2076501176,,859161.5482784262,1834187.371147408,1121936.8936247712
RUS,transportation,domestic-aviation,domestic,3174172,Sheremetyevo International Airport,,,,1704211.1011207642,2192499.9454629533,1549287.712593831,,2166367.144295782,1109641.624726032
USA,transportation,domestic-aviation,domestic,3171528,Fort Lauderdale Hollywood International Airport,1698779.4447813889,1765329.4331542754,1883686.791393198,,1968213.3101822329,,1810782.376657807,1895708.73533578,1097743.3913751063
CHN,transportation,domestic-aviation,domestic,3174207,Sanya Phoenix International Airport,,1256780.5863207188,1350410.7824583976,1406192.9892793205,,1421914.5208506866,,1480084.3898517538,1080734.6899394405
USA,transportation,international-aviation,international,3169047,Seattle–Tacoma International Airport,1692506.679520479,1763410.940557484,1842576.3198044423,,1918686.1419020009,,878005.27274073,1632968.8438480808,1080625.3201430012
USA,transportation,domestic-aviation,domestic,3173903,San Diego International Airport,1606998.5446796927,1665502.997885036,1784992.3588612375,1942579.538983367,1999658.8537405285,1130144.5827599927,1435317.544881752,1917559.9892694163,1075923.084038895
CHN,transportation,domestic-aviation,domestic,3171001,Zhengzhou Xinzheng International Airport,1186700.7214855065,1361765.0783708089,1629430.720797856,1762838.746724238,1773942.4887113303,1580261.5623163143,1610360.6220637518,1473512.4027089293,1074880.0039352507
USA,transportation,domestic-aviation,domestic,3174043,Salt Lake City International Airport,1626453.5071763948,1672164.7625309704,1733786.3654986492,,1881202.0457663,1426541.080094695,1927532.055857402,1938432.6822913,1044486.785156644
GBR,transportation,international-aviation,international,3169234,London Stansted Airport,1235519.3617334706,1304009.4545514076,1468405.0614592524,,1686100.798061096,,777470.761938215,1710222.6631771675,999706.8086447412
USA,transportation,domestic-aviation,domestic,3171214,Ronald Reagan Washington National Airport,1709975.7291357536,1723096.1697860763,,1677818.655133131,1712461.372013294,877953.9532780139,1053413.8734725253,1875113.936826466,996193.5351448852
TUR,transportation,international-aviation,international,3165683,Antalya International Airport,933188.504657079,689411.444667159,817390.5561101028,1225025.910858915,,518459.9928088484,,1712898.2283001945,994336.40232146
VNM,transportation,international-aviation,international,3166883,Noi Bai International Airport,,,1478458.4527446553,,1811069.8870653168,,647140.7730726298,1258481.906289068,985739.7770515876
USA,transportation,domestic-aviation,domestic,3170563,Austin Bergstrom International Airport,,,1028302.4884450056,1156088.2724847016,1236063.5894925967,696037.7322953674,,1742754.5600398197,966931.7290109032
USA,transportation,domestic-aviation,domestic,3173495,Philadelphia International Airport,2115456.2810573657,,2013975.7477835512,2146308.5550778103,2220349.8593954425,,1414701.4198950452,1699265.3352446165,965304.8758241894
CHN,transportation,domestic-aviation,domestic,3171787,Haikou Meilan International Airport,,,1234134.703138783,1349154.2737126858,,,,1436538.9412510798,954355.996036358
GRC,transportation,international-aviation,international,3165639,Athens Eleftherios Venizelos International Airport,1086236.616307808,1168664.4776036995,1312565.1109893592,1500268.100370704,1632098.696754575,580517.1888601471,960671.351439301,1588917.144615555,931137.2465216932
CHN,transportation,domestic-aviation,domestic,3171895,Harbin Taiping International Airport,971622.2552535584,1119551.0939881748,1273248.503802165,,1421028.9337866085,1260518.4236585498,1345804.2567648129,1364449.0765364226,914224.9840807192
