iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
CHN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588604,China_OtherBasins_OtherResources,301545.6086307845,315782.8056007931,318124.24743594386,318124.24743594386
USA,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588807,United States_OtherBasins_OtherResources,332187.55694265093,324356.90924517205,311863.75366630626,311863.75366630626
QAT,fossil-fuel-operations,oil-and-gas-production,LNG,3588726,Qatar_Rub al Khali_LNG,311755.3734058887,310380.9985624486,308455.86986949155,308455.86986949155
QAT,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588725,Qatar_Rub al Khali_Conventional shelf,238978.31311296616,288928.3193153373,296442.1021749376,296442.1021749376
POL,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588723,Poland_OtherBasins_OtherResources,298954.63512401626,293619.94604754605,286196.5986541237,286196.5986541237
THA,fossil-fuel-operations,coal-mining,Underground & Surface,16344,Mae Moh Coal Mine,299946.2614160142,289459.5741590714,270162.2692151332,270162.2692151332
TWN,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588462,Taiwan_OtherBasins_OtherResources,362505.14831138495,307849.77581824467,267165.7309828546,267165.7309828546
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588813,United States_Williston_Tight oil,256369.30379489245,246207.56065965758,263159.99889040715,263159.99889040715
USA,fossil-fuel-operations,oil-and-gas-transport,Tight oil,3588517,United States_Midland_Tight oil,177579.22430519163,210182.20627900248,260466.77164010084,260466.77164010084
ARE,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588485,United Arab Emirates_OtherBasins_OtherResources,221042.2948856203,250271.93666367768,255218.3148842641,255218.31488426414
CAN,fossil-fuel-operations,oil-and-gas-transport,Oil sands,3588306,Canada_West Canadian - Alberta_Oil sands,237894.4292064887,247495.12286999772,253016.7842226854,253016.7842226854
OMN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588714,Oman_Rub al Khali_Conventional onshore,229083.66648809813,237640.72639426938,236669.56620526954,236669.56620526957
VEN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588821,Venezuela_Maturin_Conventional onshore,232613.48096378762,230948.10030401105,232619.32560302736,232619.32560302733
IND,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588364,India_OtherBasins_OtherResources,205285.0158274745,206228.7922416218,231753.4131523316,231753.4131523316
AGO,fossil-fuel-operations,oil-and-gas-production,Deepwater,3588551,Angola_Lower Congo_Deepwater,210498.93447281743,222355.9832876663,219704.5967901884,219704.5967901884
SSD,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588456,South Sudan_OtherBasins_OtherResources,206547.90897322664,229872.31425153618,219067.09527507695,219067.09527507695
IDN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588655,Indonesia_OtherBasins_OtherResources,222346.7025760547,207031.29527793804,214673.61026149572,214673.6102614957
SGP,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144107,ExxonMobil Singapore Refinery,185225.59081967422,222276.5693861459,214555.1567183093,214555.1567183093
KWT,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588392,Kuwait_Widyan - North Arabian Gulf_Conventional onshore,180397.69247874685,203872.845260509,199276.8700807884,199276.87008078842
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588549,Algeria_Oued Mya_Conventional onshore,198016.72099026816,186693.78318643192,198315.1582255869,198315.1582255869
OMN,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588428,Oman_Rub al Khali_Conventional onshore,190922.66476135794,199042.76867245327,196676.1310164574,196676.13101645737
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588782,United States_Anadarko_Shale gas,181049.1239246463,194572.7669572422,195952.63564838705,195952.63564838705
JPN,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588383,Japan_OtherBasins_OtherResources,223660.99052925166,202536.60269854526,192744.5559414863,192744.55594148624
RUS,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588445,Russian Federation_OtherBasins_OtherResources,175170.40075194553,195473.4435607725,191759.59753137594,191759.59753137594
ARE,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588487,United Arab Emirates_Rub al Khali_Conventional shelf,156840.52186056043,187856.6278318976,188492.00406940654,188492.00406940654
SGP,transportation,international-shipping,,2801126,Singapore,172517.98053062722,176747.80976259251,180446.8460487291,192385.86607489747
USA,fossil-fuel-operations,oil-and-gas-transport,Tight oil,3588515,United States_Gulf Coast_Tight oil,151933.2115106924,165808.44880875404,179324.90424157897,179324.90424157897
IRN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588657,Iran_OtherBasins_OtherResources,171267.18255401356,172388.0309379102,179264.92991316054,179264.9299131605
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588453,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,157870.91087714475,209914.24288480094,179227.56126393436,179227.56126393433
RUS,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588731,Russian Federation_OtherBasins_OtherResources,143412.1809074626,160611.0358033988,168653.74781321437,168653.74781321437
PAK,buildings,residential-onsite-fuel-usage,,1338031,Lahore,163997.43538405185,162738.6256180031,165995.03657909477,165995.03657909477
CAN,fossil-fuel-operations,oil-and-gas-transport,Tight gas,3588308,Canada_West Canadian - Alberta_Tight gas,129381.72229218709,152022.36649876647,162641.22677762943,162641.22677762946
CAN,fossil-fuel-operations,oil-and-gas-production,LNG,3588591,Canada_West Canadian - Alberta_LNG,124146.7753832911,144227.54822413807,161889.77507788868,161889.77507788865
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588547,Algeria_Illizi - Ghadames_Conventional onshore,123743.359186788,145740.80833963692,161128.58346907742,161128.58346907742
USA,fossil-fuel-operations,oil-and-gas-production,Deepwater,3588798,United States_East Gulf Coast Tertiary_Deepwater,136547.2425272967,142233.75321467812,161006.23566134617,161006.23566134617
USA,fossil-fuel-operations,oil-and-gas-transport,Shale gas,3588501,United States_ArkLaTex_Shale gas,130972.08025225971,141109.76075926144,154981.04065024084,154981.04065024084
POL,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588437,Poland_OtherBasins_OtherResources,160037.21844766152,157181.43370825163,153207.5438397421,153207.5438397421
ARE,fossil-fuel-operations,oil-and-gas-transport,Acid/sour gas,3588486,United Arab Emirates_Rub al Khali_Acid/sour gas,163997.98507580685,166265.77984708452,152583.020124521,152583.020124521
CHN,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588318,China_OtherBasins_OtherResources,143053.4153043712,149370.10450570437,150953.96153903397,150953.96153903397
THA,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588751,Thailand_OtherBasins_OtherResources,151704.05011517426,150735.54270271343,149603.047683404,149603.047683404
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588796,United States_Denver-Julesburg_Tight oil,140104.40763505807,142967.73965400428,145015.370385778,145015.37038577796
USA,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588521,United States_OtherBasins_OtherResources,152198.8348662595,148559.32637584838,142822.18855777857,142822.18855777857
NOR,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588712,Norway_Voring_Conventional shelf,132580.79099768263,135627.71938183566,140777.81877418017,140777.81877418017
SAU,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588451,Saudi Arabia_OtherBasins_OtherResources,124796.31475466052,131635.90857495856,140760.87870960054,140760.87870960054
MEX,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588692,Mexico_Salinas - Sureste_Conventional onshore,89811.99968671473,122443.55891351835,136744.9965187261,136744.9965187261
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588733,Russian Federation_Volga - Urals_Conventional onshore,150960.79778695316,144124.5941272374,136518.47187609004,136518.47187609007
PAK,buildings,residential-onsite-fuel-usage,,1338030,Gujranwala,128763.45653522968,127885.79123257674,129331.7233601886,129331.72336018861
PAK,buildings,residential-onsite-fuel-usage,,1338032,Multan,125836.3032975743,124214.67055153438,128436.45717646749,128436.45717646752
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588736,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,157486.21552457026,141230.6651013516,126736.26277376336,126736.26277376333
VEN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588823,Venezuela_OtherBasins_OtherResources,109738.87913825065,117374.86527388734,126514.37709064675,126514.37709064673
AZE,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588573,Azerbaijan_South Caspian_Conventional shelf,141300.86668502213,134194.63108414828,125838.36742554692,125838.3674255469
DZA,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588263,Algeria_Oued Mya_Conventional onshore,124286.19100135926,117002.66262286964,125575.48270436503,125575.48270436503
USA,fossil-fuel-operations,oil-and-gas-transport,Tight oil,3588527,United States_Williston_Tight oil,117608.25507764997,112946.6013395342,120723.45583859892,120723.45583859892
