iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
LUX,transportation,international-aviation,international,3167833,Luxembourg-Findel International Airport,,,,,,,,,7.38596332370824
USA,transportation,domestic-aviation,domestic,3174043,Salt Lake City International Airport,,,,,,,,,7.264203263567299
CHL,transportation,international-aviation,international,3169019,Comodoro Arturo Merino Benítez International Airport,,,,,,,,,7.078818447839295
USA,transportation,domestic-aviation,domestic,3171214,Ronald Reagan Washington National Airport,,,,,,,,,6.928333064605347
TUR,transportation,international-aviation,international,3165683,Antalya International Airport,,,,,,,,,6.915417065562987
VNM,transportation,international-aviation,international,3166883,Noi Bai International Airport,,,,,,,,,6.855629202060597
USA,transportation,domestic-aviation,domestic,3170563,Austin Bergstrom International Airport,,,,,,,,,6.72482287123849
USA,transportation,domestic-aviation,domestic,3173495,Philadelphia International Airport,,,,,,,,,6.713508422462097
PER,transportation,international-aviation,international,3167709,Jorge Chávez International Airport,,,,,,,,,6.6989708276066295
CHN,transportation,domestic-aviation,domestic,3171787,Haikou Meilan International Airport,,,,,,,,,6.637361084441656
FIN,transportation,international-aviation,international,3166907,Helsinki Vantaa Airport,,,,,,,,,6.5167032652736765
IDN,transportation,international-aviation,international,3166406,Ngurah Rai (Bali) International Airport,,,,,,,,,6.50613013771464
CHN,transportation,domestic-aviation,domestic,3171895,Harbin Taiping International Airport,,,,,,,,,6.358257670055545
CHN,transportation,domestic-aviation,domestic,3174819,Wuhan Tianhe International Airport,,,,,,,,,6.310022640569519
USA,transportation,domestic-aviation,domestic,3174411,Tampa International Airport,,,,,,,,,6.272023049578645
IND,transportation,domestic-aviation,domestic,3170781,Chhatrapati Shivaji International Airport,,,,,,,,,6.222462963245917
BGD,transportation,international-aviation,international,3166291,Hazrat Shahjalal International Airport,,,,,,,,,6.175469844664423
SWE,transportation,international-aviation,international,3165615,Stockholm-Arlanda Airport,,,,,,,,,6.165131505010206
USA,transportation,domestic-aviation,domestic,3170881,Baltimore/Washington International Thurgood Marshall Airport,,,,,,,,,5.855307813482201
RUS,transportation,international-aviation,international,3169266,Sheremetyevo International Airport,,,,,,,,,5.826634248369279
KEN,transportation,international-aviation,international,3168214,Jomo Kenyatta International Airport,,,,,,,,,5.793481820138187
BRA,transportation,domestic-aviation,domestic,3171726,Guarulhos - Governador André Franco Montoro International Airport,,,,,,,,,5.737644585966618
TUR,transportation,international-aviation,international,3169002,Istanbul Sabiha Gökçen International Airport,,,,,,,,,5.675696463172648
ARE,transportation,international-aviation,international,3169084,Sharjah International Airport,,,,,,,,,5.6727930356117415
OMN,transportation,international-aviation,international,3167908,Muscat International Airport,,,,,,,,,5.283650920239556
CHN,transportation,domestic-aviation,domestic,3172491,Guiyang Longdongbao International Airport,,,,,,,,,5.049008788374531
ESP,transportation,international-aviation,international,3165505,Málaga-Costa del Sol Airport,,,,,,,,,4.990535747425298
CHE,transportation,international-aviation,international,3166851,Geneva Cointrin International Airport,,,,,,,,,4.987323812062435
MAR,transportation,international-aviation,international,3166165,Mohammed V International Airport,,,,,,,,,4.8358582574002815
CHN,transportation,domestic-aviation,domestic,3174233,Qingdao Jiaodong International Airport,,,,,,,,,4.74857093375896
ESP,transportation,international-aviation,international,3168644,Palma de Mallorca Airport,,,,,,,,,4.69654197513643
VNM,transportation,domestic-aviation,domestic,3171789,Noi Bai International Airport,,,,,,,,,4.562744638775854
THA,transportation,international-aviation,international,3166946,Phuket International Airport,,,,,,,,,4.513246179528308
NOR,transportation,international-aviation,international,3168478,"Oslo Airport, Gardermoen",,,,,,,,,4.436461843712146
USA,transportation,domestic-aviation,domestic,3171199,Dallas Love Field,,,,,,,,,4.417302209357432
CHN,transportation,domestic-aviation,domestic,3172609,Lanzhou Zhongchuan International Airport,,,,,,,,,4.400533374582901
JPN,transportation,domestic-aviation,domestic,3173318,Naha Airport / JASDF Naha Air Base,,,,,,,,,4.37525742168384
AUS,transportation,domestic-aviation,domestic,3170766,Brisbane International Airport,,,,,,,,,4.328497074261969
CAN,transportation,domestic-aviation,domestic,3175111,Vancouver International Airport,,,,,,,,,4.178158091832798
RUS,transportation,domestic-aviation,domestic,3171286,Domodedovo International Airport,,,,,,,,,4.118024783508982
JOR,transportation,international-aviation,international,3165568,Queen Alia International Airport,,,,,,,,,4.079893775542136
BRA,transportation,domestic-aviation,domestic,3170996,Congonhas Airport,,,,,,,,,4.04028882328729
AUS,transportation,domestic-aviation,domestic,3173469,Perth International Airport,,,,,,,,,3.9542483304286535
ARE,transportation,international-aviation,international,3166440,Al Maktoum International Airport,,,,,,,,,3.768629739654998
AUS,transportation,international-aviation,international,3168563,Perth International Airport,,,,,,,,,3.677313530143863
CHN,transportation,domestic-aviation,domestic,3173191,Nanning Wuxu Airport,,,,,,,,,3.6773040296376114
BEL,transportation,international-aviation,international,3167691,Liège Airport,,,,,,,,,3.6401567406833686
CHN,transportation,domestic-aviation,domestic,3174496,Taiyuan Wusu Airport,,,,,,,,,3.5907044658628937
IND,transportation,international-aviation,international,3167868,Chennai International Airport,,,,,,,,,3.530626656748179
ISL,transportation,international-aviation,international,3167372,Keflavik International Airport,,,,,,,,,3.523871402260187
IDN,transportation,domestic-aviation,domestic,3174578,Hasanuddin International Airport,,,,,,,,,3.4835902960900844
SAU,transportation,international-aviation,international,3167929,Prince Mohammad Bin Abdulaziz Airport,,,,,,,,,3.47654007554531
BRA,transportation,international-aviation,international,3166754,Rio Galeão – Tom Jobim International Airport,,,,,,,,,3.474408185805419
MUS,transportation,international-aviation,international,3168092,Sir Seewoosagur Ramgoolam International Airport,,,,,,,,,3.4696690164284045
CHN,transportation,domestic-aviation,domestic,3171818,Hefei Xinqiao International Airport,,,,,,,,,3.4613710718243373
CHN,transportation,international-aviation,international,3169315,Shenzhen Bao'an International Airport,,,,,,,,,3.438156200198935
CHN,transportation,domestic-aviation,domestic,3171273,Dalian Zhoushuizi International Airport,,,,,,,,,3.4314548813741315
CHN,transportation,domestic-aviation,domestic,3173147,Ningbo Lishe International Airport,,,,,,,,,3.424236821219514
CAN,transportation,international-aviation,international,3170232,Calgary International Airport,,,,,,,,,3.3242093895284093
CAN,transportation,domestic-aviation,domestic,3175138,Calgary International Airport,,,,,,,,,3.321249680970394
CHN,transportation,domestic-aviation,domestic,3174793,Wenzhou Longwan International Airport,,,,,,,,,3.3045954715738883
RUS,transportation,international-aviation,international,3166380,Domodedovo International Airport,,,,,,,,,3.302208343092726
ESP,transportation,international-aviation,international,3165553,Alicante-Elche Miguel Hernández Airport,,,,,,,,,3.30010422426636
CZE,transportation,international-aviation,international,3168700,Václav Havel Airport Prague,,,,,,,,,3.262249658571946
USA,transportation,international-aviation,international,3168589,Philadelphia International Airport,,,,,,,,,3.261599917323407
GBR,transportation,international-aviation,international,3165788,Birmingham International Airport,,,,,,,,,3.260486238177793
BRA,transportation,domestic-aviation,domestic,3170827,Presidente Juscelino Kubitschek International Airport,,,,,,,,,3.2401339145043897
USA,transportation,domestic-aviation,domestic,3173752,Raleigh Durham International Airport,,,,,,,,,3.197683405180928
ROU,transportation,international-aviation,international,3168490,Henri Coandă International Airport,,,,,,,,,3.194380533654481
USA,transportation,international-aviation,international,3166154,Charlotte Douglas International Airport,,,,,,,,,3.1544915545854
USA,transportation,domestic-aviation,domestic,3174071,John Wayne Orange County International Airport,,,,,,,,,3.1495445373715967
USA,transportation,domestic-aviation,domestic,3171886,William P Hobby Airport,,,,,,,,,3.1183833527346185
USA,transportation,domestic-aviation,domestic,3172806,Kansas City International Airport,,,,,,,,,3.112677180692481
USA,transportation,international-aviation,international,3166327,Denver International Airport,,,,,,,,,3.0870482954034086
USA,transportation,domestic-aviation,domestic,3173861,Southwest Florida International Airport,,,,,,,,,3.016528048674842
GBR,transportation,international-aviation,international,3166475,Edinburgh Airport,,,,,,,,,3.009995518484956
USA,transportation,international-aviation,international,3166622,Fort Lauderdale Hollywood International Airport,,,,,,,,,3.0030531565933978
COL,transportation,domestic-aviation,domestic,3170777,El Dorado International Airport,,,,,,,,,2.976045685955719
PRT,transportation,international-aviation,international,3168455,Francisco de Sá Carneiro Airport,,,,,,,,,2.9708124175220805
RUS,transportation,domestic-aviation,domestic,3170394,Sochi International Airport,,,,,,,,,2.909239470923204
ESP,transportation,international-aviation,international,3167773,Gran Canaria Airport,,,,,,,,,2.9040641391559965
NGA,transportation,international-aviation,international,3167770,Murtala Muhammed International Airport,,,,,,,,,2.874814831629069
IRN,transportation,international-aviation,international,3167080,Imam Khomeini International Airport,,,,,,,,,2.7957386090508165
UZB,transportation,international-aviation,international,3169330,Tashkent International Airport,,,,,,,,,2.7673421287954105
CRI,transportation,international-aviation,international,3169113,Juan Santamaría International Airport,,,,,,,,,2.730144903080937
LBN,transportation,international-aviation,international,3165748,Beirut Rafic Hariri International Airport,,,,,,,,,2.6726835590833646
ARG,transportation,domestic-aviation,domestic,3170393,Jorge Newbery Airpark,,,,,,,,,2.664136392397475
USA,transportation,domestic-aviation,domestic,3172010,Indianapolis International Airport,,,,,,,,,2.624406259919452
MEX,transportation,domestic-aviation,domestic,3171148,Aeropuerto Internacional de Cancún,,,,,,,,,2.590896562176298
ESP,transportation,domestic-aviation,domestic,3172776,Adolfo Suárez Madrid–Barajas Airport,,,,,,,,,2.580635493420359
CHN,transportation,domestic-aviation,domestic,3174024,Shijiazhuang Zhengding International Airport,,,,,,,,,2.567209042333198
RUS,transportation,domestic-aviation,domestic,3173407,Novosibirsk Tolmachevo Airport,,,,,,,,,2.5040953113085584
REU,transportation,international-aviation,international,3168967,Roland Garros Airport,,,,,,,,,2.4125358323729773
EGY,transportation,international-aviation,international,3166992,Hurghada International Airport,,,,,,,,,2.3832988765943552
DEU,transportation,international-aviation,international,3166094,Cologne Bonn Airport,,,,,,,,,2.375091515761235
ITA,transportation,international-aviation,international,3169736,Venice Marco Polo Airport,,,,,,,,,2.351918614204911
PAK,transportation,international-aviation,international,3167700,Allama Iqbal International Airport,,,,,,,,,2.3500240938623405
MEX,transportation,domestic-aviation,domestic,3171622,Aeropuerto Internacional Miguel Hidalgo,,,,,,,,,2.273967578131953
DOM,transportation,international-aviation,international,3169040,Las Américas International Airport,,,,,,,,,2.272968801732011
USA,transportation,domestic-aviation,domestic,3171053,Cleveland Hopkins International Airport,,,,,,,,,2.253091771101642
USA,transportation,domestic-aviation,domestic,3173513,Pittsburgh International Airport,,,,,,,,,2.2243835184481298
BRA,transportation,domestic-aviation,domestic,3173949,Santos Dumont Airport,,,,,,,,,2.194112212468235
IND,transportation,international-aviation,international,3166184,Cochin International Airport,,,,,,,,,2.193495316616199
USA,transportation,international-aviation,international,3167628,Harry Reid International Airport,,,,,,,,,2.161818697183005
KOR,transportation,domestic-aviation,domestic,3171041,Jeju International Airport,,,,,,,,,2.155025064672476
TUR,transportation,domestic-aviation,domestic,3173908,Istanbul Sabiha Gökçen International Airport,,,,,,,,,2.081575497910381
PER,transportation,domestic-aviation,domestic,3172615,Jorge Chávez International Airport,,,,,,,,,2.074757449595787
CHN,transportation,domestic-aviation,domestic,3172752,Lhasa Gonggar Airport,,,,,,,,,2.0357481095446293
SLV,transportation,international-aviation,international,3168996,Monseñor Óscar Arnulfo Romero International Airport,,,,,,,,,1.961920771646434
FRA,transportation,international-aviation,international,3167859,Lyon Saint-Exupéry Airport,,,,,,,,,1.9588348596795229
MEX,transportation,domestic-aviation,domestic,3173029,Aeropuerto Internacional Gral. Mariano Escobedo,,,,,,,,,1.9303879958788728
IDN,transportation,domestic-aviation,domestic,3171312,Ngurah Rai (Bali) International Airport,,,,,,,,,1.9073450488037629
CAN,transportation,domestic-aviation,domestic,3175099,Montreal / Pierre Elliott Trudeau International Airport,,,,,,,,,1.858619016942981
