iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
USA,power,electricity-generation,coal,25449106,Sherburne County,,,,,8705000.0,7453000.0,9007000.0,8604000.0,
USA,power,electricity-generation,coal,25449119,"Gavin Power, LLC",,,,,11328000.0,10497000.0,10793000.0,9940000.0,
USA,power,electricity-generation,coal,25449143,Jim Bridger,,,,,9535000.0,8776000.0,9414000.0,9133000.0,
USA,power,electricity-generation,coal,25449149,Homer City Generating Station,,,,,7767000.0,,,,
USA,power,electricity-generation,coal,25449166,Gibson,,,,,13826000.0,13038000.0,13194000.0,13256000.0,
USA,power,electricity-generation,coal,25449181,Navajo,,,,,8886000.0,,,,
USA,power,electricity-generation,coal,25449203,Cross,,,,,9380000.0,8756000.0,9148000.0,9374000.0,
USA,power,electricity-generation,coal,25449230,Cumberland (TN),,,,,10304000.0,9827000.0,11072000.0,10515000.0,
USA,power,electricity-generation,coal,25449233,Kingston,,,,,6487000.0,,,6545000.0,
USA,power,electricity-generation,coal,25449242,Martin Lake,,,,,7820000.0,6475000.0,7703000.0,7579000.0,
USA,power,electricity-generation,coal,25449254,Springerville,,,,,6225000.0,,,,
USA,power,electricity-generation,coal,25449255,Labadie,,,,,8423000.0,7211000.0,8716000.0,8325000.0,
USA,power,electricity-generation,coal,25449280,Jeffrey Energy Center,,,,,8796000.0,8061000.0,8991000.0,8871000.0,
USA,power,electricity-generation,coal,25449377,Prairie State Generating Station,,,,,8235000.0,7555000.0,8293000.0,7963000.0,
USA,power,electricity-generation,coal,25449409,Oak Grove (TX),,,,,7820000.0,7566000.0,8015000.0,7920000.0,
USA,power,electricity-generation,coal,25457153,Colstrip,,,,,8223000.0,,,,
USA,power,electricity-generation,"coal, gas",25449004,Scherer,,,,,13013000.0,9045000.0,10108000.0,,
USA,power,electricity-generation,"coal, gas",25449020,W A Parish,,,,,11527000.0,10179000.0,11834000.0,11506000.0,
USA,power,electricity-generation,"coal, gas",25449056,Trimble County,,,,,6482000.0,,,6500000.0,
USA,power,electricity-generation,"coal, gas",25449103,R M Schahfer,,,,,7185000.0,,7418000.0,,
USA,power,electricity-generation,"coal, gas, oil",25449006,Wansley,,,,,8950000.0,,9150000.0,,
USA,power,electricity-generation,"coal, oil",25448961,Monroe (MI),,,,,14573000.0,13329000.0,14673000.0,14503000.0,
USA,power,electricity-generation,"coal, oil",25449033,AES Petersburg,,,,,8885000.0,7471000.0,8609000.0,7330000.0,
USA,power,electricity-generation,"coal, oil",25449118,W H Sammis,,,,,8395000.0,8138000.0,,6417000.0,
USA,power,electricity-generation,"gas, coal",25457152,Crystal River,,,,,6642000.0,,6883000.0,6690000.0,
UZB,agriculture,cropland-fires,,10720973,Uzbekistan,1515707.43674711,,,,,,,,
