iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
SGP,transportation,international-shipping,,2801126,Singapore,44952171.226799555,46673950.629001126,47650758.41646918,50803506.006430976
CAN,forestry-and-land-use,forest-land-clearing,,5021787,Division No. 18,14949162.499999994,1941267.0999999999,47533150.000020005,47533150.000020005
MMR,forestry-and-land-use,forest-land-fires,,8214936,Mindat,5677646.600000001,11533993.999999994,47362594.999979995,47362594.999979995
BOL,forestry-and-land-use,forest-land-fires,,8164862,General José Ballivián,778337.6999999998,3075303.7999999984,47056502.99999999,47056503.00000001
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588787,United States_ArkLaTex_Shale gas,39331197.78885513,42725992.98849894,46926015.58845582,46926015.58845581
RUS,forestry-and-land-use,net-forest-land,,8370488,Ilimpiyskiy rayon,115577900.00000024,-147350600.0000002,45224600.0,45224600.0
CAN,forestry-and-land-use,removals,,8550822,Kitikmeot,-11975715.219999999,3211280.0520000006,45195924.105,45195924.105
CAN,forestry-and-land-use,forest-land-clearing,,5021762,Nord-du-Québec,8037132.0,7633272.599999999,44994502.99998,44994502.99998
CAN,forestry-and-land-use,net-shrubgrass,,4621705,Kitikmeot,-11799049.999999968,3292640.000000004,44698359.99999997,44698359.99999997
RUS,forestry-and-land-use,forest-land-clearing,,5051634,Ayano-Mayskiy rayon,2334054.6999999997,157255.83,44507620.000020005,44507620.000020005
USA,fossil-fuel-operations,oil-and-gas-transport,Tight oil,3588509,United States_Delaware_Tight oil,32869837.387577206,42327412.71946987,44455539.61816649,44455539.61816649
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588549,Algeria_Oued Mya_Conventional onshore,45043036.594133556,41744358.166106656,44342874.48377479,44342874.48377479
CAN,forestry-and-land-use,shrubgrass-fires,,8159713,Nord-du-Québec,193834.74999999988,733571.5999999997,43341434.00001,43341434.000010006
USA,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588807,United States_OtherBasins_OtherResources,45762905.72507604,45053657.04602457,43318339.15752109,43318339.15752109
CHN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588604,China_OtherBasins_OtherResources,41160367.83061275,42923899.697396964,43242168.49701728,43242168.497017264
KOR,manufacturing,iron-and-steel,BF/BOF,1566956,POSCO Gwangyang steel plant,42055733.45795995,39086735.83219942,41613436.20814142,37452997.2269894
AUS,forestry-and-land-use,forest-land-fires,,8161317,West Arnhem,20706309.99999999,36009109.99999998,40940753.99997,40940753.99997
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588733,Russian Federation_Volga - Urals_Conventional onshore,46249155.867694594,42791668.26645444,40533353.77033276,40533353.77033276
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588739,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,35263594.5200323,47076050.05715851,40424710.27480782,40424710.27480781
AUS,forestry-and-land-use,shrubgrass-fires,,8155564,Victoria-Daly,11168340.999999996,25481496.99999999,40235499.99999001,40235499.99999
CAN,forestry-and-land-use,forest-land-fires,,8182005,Division No. 16,1320756.0999999996,3954105.599999998,40152576.0,40152576.0
CAN,forestry-and-land-use,forest-land-fires,,8182381,Division No. 18,21557441.999999996,7066096.299999998,39759956.000009984,39759956.00001
VEN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588821,Venezuela_Maturin_Conventional onshore,38856578.24058435,39146103.884413466,39429379.47353255,39429379.47353256
CAN,forestry-and-land-use,forest-land-fires,,8182071,Northern Rockies,35568.58699999999,121677.52999999993,39322439.99999999,39322440.00000001
CHN,manufacturing,iron-and-steel,BF/BOF,1566610,Angang Steel Co Ltd,43008897.75973031,38463446.94486655,38927644.86738189,36266058.337605104
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588452,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,36717305.158136226,38820951.586970195,38818132.281805,38818132.281805
