iso3_country,country,year,sector,subsector,asset_type,asset_id,asset_name,activity,emissions_quantity,emissions_factor_est,emissions_quantity_diff
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,irrigation,25493229,Junam,5320000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,water supply,25493224,Hapchon,29880000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,irrigation,25493222,Munchon,1160000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,water supply,25493220,Yongchon,9840000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,irrigation,25493214,Otae,2020000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,water supply,25493212,Imha,28080000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493211,An Dong,117140000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493211,An Dong,117140000.0,0.0,0.0,
